polarity	aspect	term	term_pos	sentence	input
positive	SERVICE#GENERAL	survice	6:13	Great survice	survice 6:13 SERVICE#GENERAL
positive	FOOD#QUALITY	Basil slice	81:92	This is a nice pizza place with good selection of thin crust pizza including the Basil slice.	Basil slice 81:92 FOOD#QUALITY
negative	AMBIENCE#GENERAL	tables	13:19	Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.	tables 13:19 AMBIENCE#GENERAL
positive	FOOD#QUALITY	Indian food	134:145	But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for Indian food	Indian food 134:145 FOOD#QUALITY
negative	FOOD#PRICES	pita bread	141:151	They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!	pita bread 141:151 FOOD#PRICES
positive	RESTAURANT#GENERAL	restaurant	14:24	I thought the restaurant was nice and clean.	restaurant 14:24 RESTAURANT#GENERAL
positive	FOOD#QUALITY	lobster teriyaki	8:24	Try the lobster teriyaki and the rose special roll.	lobster teriyaki 8:24 FOOD#QUALITY
positive	RESTAURANT#MISCELLANEOUS	pizza place	61:72	I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.	pizza place 61:72 RESTAURANT#MISCELLANEOUS
positive	RESTAURANT#GENERAL	restaurant	5:15	Best restaurant in Brooklyn	restaurant 5:15 RESTAURANT#GENERAL
positive	SERVICE#GENERAL	service	18:25	I found the food, service and value exceptional everytime I have been there.	service 18:25 SERVICE#GENERAL
negative	FOOD#STYLE_OPTIONS	appetizer selection	22:41	Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.	appetizer selection 22:41 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	indian food	40:51	it's a perfect place to have a amanzing indian food.	indian food 40:51 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	16:21	Seriously, this place kicks ass.	place 16:21 RESTAURANT#GENERAL
negative	SERVICE#GENERAL	manager	50:57	I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!	manager 50:57 SERVICE#GENERAL
positive	RESTAURANT#MISCELLANEOUS	place	85:90	It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.	place 85:90 RESTAURANT#MISCELLANEOUS
negative	AMBIENCE#GENERAL	seats	4:9	The seats are uncomfortable if you are sitting against the wall on wooden benches.	seats 4:9 AMBIENCE#GENERAL
negative	FOOD#STYLE_OPTIONS	servings for main entree	6:30	Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.	servings for main entree 6:30 FOOD#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	place	24:29	I absolutely Loved this place.	place 24:29 RESTAURANT#GENERAL
negative	FOOD#PRICES	chicken tikka masala	54:74	I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.	chicken tikka masala 54:74 FOOD#PRICES
positive	FOOD#QUALITY	food	4:8	The food was well prepared and the service impecable.	food 4:8 FOOD#QUALITY
positive	SERVICE#GENERAL	service	18:25	I recieved prompt service with a smile.	service 18:25 SERVICE#GENERAL
positive	FOOD#QUALITY	Unda (Egg) rolls	35:51	I really recommend the very simple Unda (Egg) rolls.	Unda (Egg) rolls 35:51 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	Wine list selection	0:19	Wine list selection is good and wine-by-the-glass was generously filled to the top.	Wine list selection 0:19 DRINKS#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	ambience	4:12	The ambience was nice, but service wasn't so great.	ambience 4:12 AMBIENCE#GENERAL
negative	RESTAURANT#GENERAL	place	5:10	This place is not worth the prices.	place 5:10 RESTAURANT#GENERAL
positive	SERVICE#GENERAL	waiter	100:106	When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.	waiter 100:106 SERVICE#GENERAL
negative	FOOD#QUALITY	fish	4:8	The fish was not fresh and the rice tasted old and stale.	fish 4:8 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Williamsburg spot	10:27	This tiny Williamsburg spot is always pleasantly surprising.	Williamsburg spot 10:27 RESTAURANT#GENERAL
negative	SERVICE#GENERAL	gentleman	2:11	A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.	gentleman 2:11 SERVICE#GENERAL
negative	FOOD#QUALITY	Tom Kha soup	8:20	And the Tom Kha soup was pathetic.	Tom Kha soup 8:20 FOOD#QUALITY
positive	RESTAURANT#GENERAL	modern Japanese brasserie	32:57	This is undoubtedly my favorite modern Japanese brasserie (that don’t serve sushi), and in my opinion, one of the most romantic restaurants in the city!	modern Japanese brasserie 32:57 RESTAURANT#GENERAL
positive	SERVICE#GENERAL	service	49:56	The prices were CHEAP compared to the quality of service and food.	service 49:56 SERVICE#GENERAL
negative	AMBIENCE#GENERAL	atmosphere	4:14	The atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.	atmosphere 4:14 AMBIENCE#GENERAL
negative	FOOD#QUALITY	guacamole	29:38	And $11 for a plate of bland guacamole?	guacamole 29:38 FOOD#QUALITY
positive	FOOD#QUALITY	pad se ew chicken	4:21	the pad se ew chicken was delicious, however the pad thai was far too oily.	pad se ew chicken 4:21 FOOD#QUALITY
negative	FOOD#QUALITY	meal	140:144	My girlfriend, being slightly more aggressive, and having been equally disgusted causing her to throw out the remainder of her barely eaten meal, called back only to be informed that I was probably wrong and that it was most likely an oyster, and that we were also blacklisted from their restaurant.	meal 140:144 FOOD#QUALITY
positive	FOOD#QUALITY	ceviche mix (special)	90:111	We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.	ceviche mix (special) 90:111 FOOD#QUALITY
negative	FOOD#PRICES	food	66:70	With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.	food 66:70 FOOD#PRICES
positive	AMBIENCE#GENERAL	vibe	6:10	Great vibe, lots of people.	vibe 6:10 AMBIENCE#GENERAL
positive	FOOD#QUALITY	seafood	21:28	Even though its good seafood, the prices are too high.	seafood 21:28 FOOD#QUALITY
positive	SERVICE#GENERAL	service	38:45	Noodle pudding is exactly the type of service and food I enjoy.	service 38:45 SERVICE#GENERAL
neutral	SERVICE#GENERAL	service	33:40	sometimes i get good food and ok service.	service 33:40 SERVICE#GENERAL
negative	FOOD#QUALITY	Pizza	0:5	Pizza was a little soggy.	Pizza 0:5 FOOD#QUALITY
positive	FOOD#QUALITY	dogs	14:18	amazing fresh dogs but best of all endless toppings!!!	dogs 14:18 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	28:33	My roommate and I LOVE this place.	place 28:33 RESTAURANT#GENERAL
negative	FOOD#STYLE_OPTIONS	food	4:8	The food was delicious but do not come here on a empty stomach.	food 4:8 FOOD#STYLE_OPTIONS
positive	DRINKS#QUALITY	bottles of wine	0:15	bottles of wine are cheap and good.	bottles of wine 0:15 DRINKS#QUALITY
positive	FOOD#QUALITY	food	45:49	I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	food 45:49 FOOD#QUALITY
negative	FOOD#QUALITY	tuna	41:45	The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.	tuna 41:45 FOOD#QUALITY
negative	SERVICE#GENERAL	manager	45:52	This is where it really really gets bad: the manager said, there is absolutely nothing we can do, it's a matter of taste that she didn't like it, and I cannot comp it.	manager 45:52 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	place	9:14	Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.	place 9:14 AMBIENCE#GENERAL
positive	FOOD#QUALITY	pastas	48:54	I LOOOVE their eggplant pizza, as well as their pastas!	pastas 48:54 FOOD#QUALITY
positive	FOOD#QUALITY	balance of herbs and tomatoes	86:115	The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.	balance of herbs and tomatoes 86:115 FOOD#QUALITY
positive	FOOD#QUALITY	food	6:10	Great food.	food 6:10 FOOD#QUALITY
positive	SERVICE#GENERAL	staff	30:35	I cannot imagine a friendlier staff working in a restaurant.	staff 30:35 SERVICE#GENERAL
negative	SERVICE#GENERAL	service	160:167	With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.	service 160:167 SERVICE#GENERAL
negative	SERVICE#GENERAL	management	17:27	Poor service and management	management 17:27 SERVICE#GENERAL
positive	RESTAURANT#GENERAL	place	23:28	I absolutely love this place!!!	place 23:28 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	Yamato	11:17	Just go to Yamato and order the Red Dragon Roll.	Yamato 11:17 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	6:10	great food	food 6:10 FOOD#QUALITY
negative	RESTAURANT#GENERAL	Restaurant	13:23	Single Worst Restaurant in Manhattan	Restaurant 13:23 RESTAURANT#GENERAL
positive	DRINKS#QUALITY	wines	28:33	Interesting selection, good wines, service fine, fun decor.	wines 28:33 DRINKS#QUALITY
positive	DRINKS#STYLE_OPTIONS	Bombay beer	21:32	I started out with a Bombay beer which was big enough for two.	Bombay beer 21:32 DRINKS#STYLE_OPTIONS
positive	FOOD#QUALITY	Crispy Duck	55:66	Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.	Crispy Duck 55:66 FOOD#QUALITY
positive	RESTAURANT#MISCELLANEOUS	indian place	75:87	I noticed alot of indian people eatting there which is a great sign for an indian place!	indian place 75:87 RESTAURANT#MISCELLANEOUS
positive	SERVICE#GENERAL	waiter	31:37	Truly the mark of an attentive waiter.	waiter 31:37 SERVICE#GENERAL
positive	FOOD#QUALITY	Moules	0:6	Moules were excellent, lobster ravioli was VERY salty!	Moules 0:6 FOOD#QUALITY
negative	FOOD#STYLE_OPTIONS	menu	4:8	The menu is very limited - i think we counted 4 or 5 entrees.	menu 4:8 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	tiramisu	18:26	We concluded with tiramisu chocolate cake, both were delicious.	tiramisu 18:26 FOOD#QUALITY
positive	SERVICE#GENERAL	service	92:99	The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.	service 92:99 SERVICE#GENERAL
positive	FOOD#PRICES	eats	45:49	If you are looking for a good quality, cheap eats - this is the place.	eats 45:49 FOOD#PRICES
positive	FOOD#QUALITY	ingredients	31:42	The combination of super-fresh ingredients in the dishes are unusual but really delicious.	ingredients 31:42 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	34:39	Great food, amazing service, this place is a class act.	place 34:39 RESTAURANT#GENERAL
positive	FOOD#QUALITY	appetizers	4:14	The appetizers are also delicious!	appetizers 4:14 FOOD#QUALITY
negative	FOOD#QUALITY	pad thai	49:57	the pad se ew chicken was delicious, however the pad thai was far too oily.	pad thai 49:57 FOOD#QUALITY
positive	FOOD#QUALITY	pizza	17:22	By far, the best pizza in Manhattan.	pizza 17:22 FOOD#QUALITY
negative	FOOD#QUALITY	dish	112:116	I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).	dish 112:116 FOOD#QUALITY
positive	DRINKS#QUALITY	martini	32:39	You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.	martini 32:39 DRINKS#QUALITY
positive	FOOD#QUALITY	ingredients	23:34	The crust is thin, the ingredients are fresh and the staff is friendly.	ingredients 23:34 FOOD#QUALITY
positive	FOOD#QUALITY	Reuben sandwich	5:20	Best Reuben sandwich ever!	Reuben sandwich 5:20 FOOD#QUALITY
positive	SERVICE#GENERAL	service	4:11	The service was excellent - friendly and attentive.	service 4:11 SERVICE#GENERAL
negative	FOOD#QUALITY	meal	43:47	We won't go to this place again for a good meal.	meal 43:47 FOOD#QUALITY
positive	FOOD#QUALITY	food	4:8	The food was good too.	food 4:8 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	10:15	Fantastic place.	place 10:15 RESTAURANT#GENERAL
negative	SERVICE#GENERAL	hostess	55:62	I have tried to make reservations, but both times, the hostess didn't have my name.	hostess 55:62 SERVICE#GENERAL
positive	RESTAURANT#GENERAL	Jekyll and hyde Pub	27:46	We had a great time at the Jekyll and hyde Pub last night.	Jekyll and hyde Pub 27:46 RESTAURANT#GENERAL
positive	FOOD#QUALITY	pad penang	6:16	Their pad penang is delicious and everything else is fantastic.	pad penang 6:16 FOOD#QUALITY
negative	RESTAURANT#GENERAL	restaurant	31:41	I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.	restaurant 31:41 RESTAURANT#GENERAL
negative	SERVICE#GENERAL	girl	17:21	The frizzy retro girl (with winged/ Dame Edna glasses) will yell at you if you try to order a drink. 	girl 17:21 SERVICE#GENERAL
negative	SERVICE#GENERAL	service	64:71	The real problem I had with this place was the complete lack of service.	service 64:71 SERVICE#GENERAL
neutral	LOCATION#GENERAL	location	4:12	The location and ambience is Ok but the food is what makes up for it.	location 4:12 LOCATION#GENERAL
positive	FOOD#QUALITY	Sea Bass	42:50	Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.	Sea Bass 42:50 FOOD#QUALITY
negative	SERVICE#GENERAL	waitress	32:40	I asked for a menu and the same waitress looked at my like I was insane.	waitress 32:40 SERVICE#GENERAL
positive	FOOD#QUALITY	stir fry blue crab	83:101	I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.	stir fry blue crab 83:101 FOOD#QUALITY
positive	FOOD#QUALITY	rock shrimp tempura	47:66	The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!	rock shrimp tempura 47:66 FOOD#QUALITY
positive	FOOD#STYLE_OPTIONS	Prix Fixe menu	4:18	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	Prix Fixe menu 4:18 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	seafood spaghetti	30:47	Good food: my favorite is the seafood spaghetti.	seafood spaghetti 30:47 FOOD#QUALITY
positive	FOOD#QUALITY	mozzarella en Carozza	50:71	If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.	mozzarella en Carozza 50:71 FOOD#QUALITY
positive	AMBIENCE#GENERAL	atmosphere	23:33	While the ambiance and atmosphere were great, the food and service could have been a lot better.	atmosphere 23:33 AMBIENCE#GENERAL
positive	FOOD#STYLE_OPTIONS	menu	22:26	Great food, good size menu, great service and an unpretensious setting.	menu 22:26 FOOD#STYLE_OPTIONS
positive	SERVICE#GENERAL	staff	4:9	The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.	staff 4:9 SERVICE#GENERAL
negative	FOOD#QUALITY	sushi	19:24	honestly the worst sushi my husband and i had in our entire lives.	sushi 19:24 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	wine-by-the-glass	32:49	Wine list selection is good and wine-by-the-glass was generously filled to the top.	wine-by-the-glass 32:49 DRINKS#STYLE_OPTIONS
negative	FOOD#QUALITY	Chow fun	0:8	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 	Chow fun 0:8 FOOD#QUALITY
positive	FOOD#QUALITY	Pakistani food	10:24	Authentic Pakistani food.	Pakistani food 10:24 FOOD#QUALITY
negative	SERVICE#GENERAL	manager	4:11	The manager finally said he would comp the two glasses of wine (which cost less than the food), and made it seem like a big concession.	manager 4:11 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	Ambience	0:8	Ambience is delightful, service impeccable.	Ambience 0:8 AMBIENCE#GENERAL
negative	FOOD#QUALITY	stone bowl	34:44	The bibimbap was average, but the stone bowl wasn't even close to sizzling.	stone bowl 34:44 FOOD#QUALITY
negative	FOOD#QUALITY	food	4:8	The food was actually aweful.	food 4:8 FOOD#QUALITY
positive	AMBIENCE#GENERAL	place	23:28	The food was good, the place was clean and affordable.	place 23:28 AMBIENCE#GENERAL
positive	RESTAURANT#MISCELLANEOUS	Place	0:5	Place is open till late, no dress code.	Place 0:5 RESTAURANT#MISCELLANEOUS
positive	FOOD#STYLE_OPTIONS	portions	65:73	The food was pretty tradional but it was hot and good with large portions.	portions 65:73 FOOD#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	blond wood decor	4:20	The blond wood decor is very soothing, the premium sake is excellent and the service is great.	blond wood decor 4:20 AMBIENCE#GENERAL
positive	FOOD#STYLE_OPTIONS	cheff	59:64	I really loved the different and inovated touch that's the cheff gives to the food.	cheff 59:64 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	pizza	4:9	The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.	pizza 4:9 FOOD#QUALITY
negative	AMBIENCE#GENERAL	place	4:9	The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.	place 4:9 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	decor	26:31	Highly impressed from the decor to the food to the hospitality to the great night I had!	decor 26:31 AMBIENCE#GENERAL
positive	FOOD#QUALITY	food	61:65	The prices were CHEAP compared to the quality of service and food.	food 61:65 FOOD#QUALITY
positive	AMBIENCE#GENERAL	jazz duo	12:20	whoever the jazz duo was, they were on POINT.	jazz duo 12:20 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	vibe	24:28	Best of all is the warm vibe, the owner is super friendly and service is fast.	vibe 24:28 AMBIENCE#GENERAL
neutral	RESTAURANT#MISCELLANEOUS	The Four Seasons	0:16	"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant""."	The Four Seasons 0:16 RESTAURANT#MISCELLANEOUS
negative	RESTAURANT#GENERAL	restaurant	34:44	I was very disappointed with this restaurant.	restaurant 34:44 RESTAURANT#GENERAL
positive	RESTAURANT#GENERAL	restaurant	52:62	I must say I am surprised by the bad reviews of the restaurant earlier in the year, though.	restaurant 52:62 RESTAURANT#GENERAL
negative	FOOD#PRICES	toppings	20:28	A large is $20, and toppings are about $3 each.	toppings 20:28 FOOD#PRICES
positive	AMBIENCE#GENERAL	atmosphere	4:14	The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.	atmosphere 4:14 AMBIENCE#GENERAL
positive	FOOD#QUALITY	lamb dishes	34:45	stick with the chicken, beef, and lamb dishes.	lamb dishes 34:45 FOOD#QUALITY
positive	FOOD#QUALITY	lox	4:7	The lox is always fresh too.	lox 4:7 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	37:42	Over all it was a very nice romantic place .	place 37:42 RESTAURANT#GENERAL
positive	FOOD#QUALITY	green tea tempura	67:84	They have a delicious banana chocolate dessert, as well as a great green tea tempura.	green tea tempura 67:84 FOOD#QUALITY
positive	FOOD#QUALITY	Indian Chinese	5:19	Best Indian Chinese in the city, by far!	Indian Chinese 5:19 FOOD#QUALITY
positive	FOOD#QUALITY	dining	5:11	fine dining restaurant quality.	dining 5:11 FOOD#QUALITY
negative	SERVICE#GENERAL	customer service	127:143	For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.	customer service 127:143 SERVICE#GENERAL
positive	SERVICE#GENERAL	owner	4:9	The owner truly caters to all your needs.	owner 4:9 SERVICE#GENERAL
positive	FOOD#QUALITY	indo-chinese food	123:140	The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.	indo-chinese food 123:140 FOOD#QUALITY
negative	FOOD#STYLE_OPTIONS	quesadilla	3:13	My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.	quesadilla 3:13 FOOD#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	Bloom's	7:14	Thanks Bloom's for a lovely trip.	Bloom's 7:14 RESTAURANT#GENERAL
positive	AMBIENCE#GENERAL	atmosphere	15:25	Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.	atmosphere 15:25 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	place	5:10	This place is great.	place 5:10 RESTAURANT#GENERAL
positive	DRINKS#QUALITY	coffee	56:62	The cream cheeses are out of this world and I love that coffee!!	coffee 56:62 DRINKS#QUALITY
positive	FOOD#QUALITY	Beef noodle soup	0:16	Beef noodle soup is good as well.	Beef noodle soup 0:16 FOOD#QUALITY
positive	SERVICE#GENERAL	service	18:25	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	service 18:25 SERVICE#GENERAL
negative	AMBIENCE#GENERAL	place	4:9	The place is small and cramped but the food is fantastic.	place 4:9 AMBIENCE#GENERAL
negative	FOOD#STYLE_OPTIONS	fish	4:8	The fish was adequate, but inexpertly sliced.	fish 4:8 FOOD#STYLE_OPTIONS
positive	RESTAURANT#MISCELLANEOUS	place	9:14	Gorgeous place ideal for a romantic dinner	place 9:14 RESTAURANT#MISCELLANEOUS
positive	SERVICE#GENERAL	service	75:82	The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.	service 75:82 SERVICE#GENERAL
positive	SERVICE#GENERAL	service	32:39	Great food, great prices, great service.	service 32:39 SERVICE#GENERAL
positive	LOCATION#GENERAL	view of river and NYC	5:26	Nice view of river and NYC.	view of river and NYC 5:26 LOCATION#GENERAL
positive	FOOD#QUALITY	fish	35:39	I've never had bad service and the fish is fresh and delicious.	fish 35:39 FOOD#QUALITY
positive	SERVICE#GENERAL	service	81:88	The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	service 81:88 SERVICE#GENERAL
negative	SERVICE#GENERAL	customer service	65:81	Shame on this place for the horrible rude staff and non-existent customer service.	customer service 65:81 SERVICE#GENERAL
negative	FOOD#QUALITY	sushi	41:46	Quite frankly, this is some of the worst sushi I have ever tried.	sushi 41:46 FOOD#QUALITY
positive	SERVICE#GENERAL	service	80:87	A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.	service 80:87 SERVICE#GENERAL
negative	SERVICE#GENERAL	service	4:11	The service varys from day to day- sometimes they're very nice, and sometimes not.	service 4:11 SERVICE#GENERAL
positive	LOCATION#GENERAL	place	16:21	This is a great place to take out-of-towners, and perfect for watching the sunset.	place 16:21 LOCATION#GENERAL
negative	SERVICE#GENERAL	bartender	14:23	Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	bartender 14:23 SERVICE#GENERAL
negative	SERVICE#GENERAL	hostess	4:11	The hostess is rude to the point of being offensive.	hostess 4:11 SERVICE#GENERAL
positive	RESTAURANT#GENERAL	Zenkichi	95:103	I don’t usually visit the same establishment more than once, what more twice, but I’ll come to Zenkichi anytime for a quiet, unhurried and memorable dinner.	Zenkichi 95:103 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Dal Bukhara	13:24	First of all Dal Bukhara Rocks.	Dal Bukhara 13:24 FOOD#QUALITY
negative	FOOD#QUALITY	frites	100:106	Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.	frites 100:106 FOOD#QUALITY
negative	SERVICE#GENERAL	staff	66:71	The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.	staff 66:71 SERVICE#GENERAL
positive	FOOD#QUALITY	food	39:43	Highly impressed from the decor to the food to the hospitality to the great night I had!	food 39:43 FOOD#QUALITY
positive	FOOD#QUALITY	large whole shrimp	101:119	The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).	large whole shrimp 101:119 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	drink menu	11:21	Love their drink menu.	drink menu 11:21 DRINKS#STYLE_OPTIONS
negative	FOOD#QUALITY	seafood tagliatelle	61:80	The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.	seafood tagliatelle 61:80 FOOD#QUALITY
positive	SERVICE#GENERAL	service	4:11	The service is good and ambience is good for a date or group outing.	service 4:11 SERVICE#GENERAL
positive	FOOD#QUALITY	fusion twists	77:90	Dokebi gives Williamsburg the right one-two punch of classic Korean food and fusion twists like pork belly tacos.	fusion twists 77:90 FOOD#QUALITY
positive	AMBIENCE#GENERAL	place	48:53	Right off the L in Brooklyn this is a nice cozy place with good pizza.	place 48:53 AMBIENCE#GENERAL
positive	AMBIENCE#GENERAL	decor	4:9	The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.	decor 4:9 AMBIENCE#GENERAL
positive	FOOD#QUALITY	thai food	103:112	Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .	thai food 103:112 FOOD#QUALITY
positive	FOOD#QUALITY	chef	16:20	Hats off to the chef.	chef 16:20 FOOD#QUALITY
negative	SERVICE#GENERAL	service	47:54	I have never been so disgusted by both food an service.	service 47:54 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	Ambiance	0:8	Ambiance- relaxed and stylish.	Ambiance 0:8 AMBIENCE#GENERAL
positive	DRINKS#QUALITY	drinks	101:107	The manager came to the table and said we can do what we want, so we paid for what we did enjoy, the drinks and appetizers, and walked out.	drinks 101:107 DRINKS#QUALITY
positive	FOOD#QUALITY	tuna of gari	8:20	Get the tuna of gari.	tuna of gari 8:20 FOOD#QUALITY
positive	SERVICE#GENERAL	service	4:11	The service is good and the resturant is clean.	service 4:11 SERVICE#GENERAL
positive	FOOD#QUALITY	Indian Food	6:17	Great Indian Food!	Indian Food 6:17 FOOD#QUALITY
positive	FOOD#QUALITY	dumplings	10:19	Excellent dumplings served amid clean, chic decor.	dumplings 10:19 FOOD#QUALITY
positive	FOOD#QUALITY	triple color and norwegetan rolls	27:60	They have great rolls, the triple color and norwegetan rolls, are awesome and filling.	triple color and norwegetan rolls 27:60 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	wine list	100:109	The place has a nice fit-out, some attractive furnishings and, from what I could tell, a reasonable wine list (I was given the food menu when I asked for the carte des vins)	wine list 100:109 DRINKS#STYLE_OPTIONS
negative	FOOD#PRICES	food	117:121	I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.	food 117:121 FOOD#PRICES
negative	SERVICE#GENERAL	delivery guys	49:62	There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.	delivery guys 49:62 SERVICE#GENERAL
positive	AMBIENCE#GENERAL	place	4:9	The place itself is beautiful the bar scene seems to be happening.	place 4:9 AMBIENCE#GENERAL
negative	FOOD#QUALITY	food	42:46	The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.	food 42:46 FOOD#QUALITY
positive	DRINKS#QUALITY	drinks	16:22	go here for the drinks!	drinks 16:22 DRINKS#QUALITY
positive	FOOD#QUALITY	Pizza	12:17	Super YUMMY Pizza!	Pizza 12:17 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Al Di La	5:13	Love Al Di La	Al Di La 5:13 RESTAURANT#GENERAL
positive	FOOD#QUALITY	mussels in spicy tomato sauce	57:86	The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.	mussels in spicy tomato sauce 57:86 FOOD#QUALITY
negative	FOOD#QUALITY	turnip cake	21:32	A few tips: skip the turnip cake, roast pork buns and egg custards.	turnip cake 21:32 FOOD#QUALITY
positive	FOOD#QUALITY	food	29:33	Just straight up cheap, good food.	food 29:33 FOOD#QUALITY
positive	FOOD#QUALITY	Food	0:4	Food is excellent.	Food 0:4 FOOD#QUALITY
